width;height;(+)PSF;(-)PSF;(+)PSF;(-)PSF;;                                                               PUEDE INTERCAMBIAR LA ALTURA  Y CON EL ANCHO
30;48;60;80;80;80;;
36;;60;80;80;80;;
42;;60;68.6;80;80;;
48;;60;60;80;80;;
54;;60;60;80;80;;
60;;60;60;80;80;;
30;54;60;80;80;80;;
36;;60;80;80;80;;
42;;60;68.6;80;80;;
48;;60;60;80;80;;
54;;53.3;53.3;71.1;71.1;;
60;;53.3;53.3;71.1;71.1;;
30;60;60;80;80;80;;
36;;60;80;80;80;;
42;;60;68.6;80;80;;
48;;60;60;80;80;;
54;;53.3;53.3;71.1;71.1;;
60;;48;48;64;64;;
