Width;Height;Qty;Config;(+)PSF;(-)PSF;Applicant;System;Glass;IMPACT;(+)MDP;(-)MDP;N.O.A.;EXPIRES;SERIES;TYPE;GlassType
144;120;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
144;36;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
48;96;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
96;60;2;O;40.17;53.56;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
72;84;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER SENTRYGLAS BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-02
60;120;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER SENTRYGLAS BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-02
240;144;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER SENTRYGLAS BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-02
96;92;2;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
96;120;1;O;40.17;53.56;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
96;60;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
144;120;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
144;60;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
48;144;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER SENTRYGLAS BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-02
48;144;2;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER SENTRYGLAS BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-02
145;72;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
84;72;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
42;72;1;O;40.17;43.51;ES-WINDOWS LLC;SERIES ES-8000 ALUMINUM WINDOW WALL SYSTEM ;1/4 HEAT STREN'D GLASS + 0.09 INTERLAYER TROSIFOL PVB BY KURARAY AMERICA INC + 1/4 HEAT STREN'D GLASS ;L.M.I;90;90;21-0517.02;04/03/2023;8000;W.W.;GT-01
